,Rank,Team,Weighted Matches,Points,Rating
0,1,England,56,"6,967",124
1,2,India,67,"7,939",118
2,3,New Zealand,46,"5,347",116
3,4,South Africa,50,"5,602",112
4,5,Australia,54,"5,915",110
5,6,Pakistan,51,"5,019",98
6,7,Bangladesh,47,"4,059",86
7,8,Sri Lanka,59,"4,910",83
8,9,West Indies,61,"4,767",78
9,10,Afghanistan,43,"2,440",57
10,11,Ireland,31,"1,525",49
11,12,Zimbabwe,36,"1,572",44
12,13,Netherlands,6,222,37
13,14,Oman,14,479,34
14,15,Scotland,18,537,30
15,16,Nepal,12,237,20
16,17,Namibia,11,177,16
17,18,UAE,21,285,14
18,19,United States,16,185,12
19,20,Papua New Guinea,17,0,0
