,Rank,Team,Weighted Matches,Points,Rating
0,1,Pakistan,33,"8,926",270
1,2,Australia,29,"7,815",269
2,3,England,24,"6,407",267
3,4,India,46,"12,141",264
4,5,South Africa,24,"6,220",259
5,6,New Zealand,29,"7,114",245
6,7,Afghanistan,23,"5,422",236
7,8,Sri Lanka,29,"6,830",236
8,9,Bangladesh,25,"5,645",226
9,10,West Indies,32,"7,129",223
10,11,Zimbabwe,21,"4,082",194
11,12,Scotland,23,"4,310",187
12,13,Ireland,38,"7,076",186
13,14,UAE,31,"5,754",186
14,15,Nepal,26,"4,802",185
15,16,Netherlands,31,"5,547",179
16,17,Papua New Guinea,30,"5,277",176
17,18,Oman,21,"3,645",174
18,19,Namibia,25,"3,829",153
19,20,Singapore,23,"3,098",135
20,21,Hong Kong,25,"3,164",127
21,22,Canada,19,"2,399",126
22,23,Qatar,28,"3,411",122
23,24,Saudi Arabia,14,"1,616",115
24,25,Jersey,25,"2,848",114
25,26,Italy,12,"1,326",111
26,27,Kuwait,18,"1,960",109
27,28,Kenya,18,"1,952",108
28,29,Denmark,14,"1,438",103
29,30,Bermuda,13,"1,202",92
30,31,Malaysia,33,"2,866",87
31,32,Germany,18,"1,527",85
32,33,United States,15,"1,208",81
33,34,Botswana,19,"1,494",79
34,35,Ghana,10,773,77
35,36,Uganda,17,"1,291",76
36,37,Norway,10,709,71
37,38,Guernsey,16,"1,127",70
38,39,Austria,11,772,70
39,40,Nigeria,16,"1,058",66
40,41,Romania,8,495,62
41,42,Sweden,8,465,58
42,43,Tanzania,6,334,56
43,44,Spain,16,873,55
44,45,Cayman Islands,8,430,54
45,46,Philippines,9,433,48
46,47,Bahrain,11,518,47
47,48,Argentina,17,771,45
48,49,France,6,267,45
49,50,Vanuatu,20,869,43
50,51,Belize,9,377,42
51,52,Luxembourg,10,394,39
52,53,Peru,13,458,35
53,54,Fiji,6,210,35
54,55,Malawi,18,624,35
55,56,Panama,9,291,32
56,57,Belgium,9,290,32
57,58,Samoa,10,318,32
58,59,Japan,10,317,32
59,60,Costa Rica,8,252,32
60,61,Mexico,17,520,31
61,62,Hungary,6,180,30
62,63,Bulgaria,8,231,29
63,64,Czech Republic,17,478,28
64,65,Thailand,16,401,25
65,66,Israel,7,173,25
66,67,Portugal,9,215,24
67,68,Finland,13,296,23
68,69,South Korea,10,217,22
69,70,Isle of Man,7,149,21
70,71,Mozambique,18,349,19
71,72,Chile,14,265,19
72,73,Bhutan,10,153,15
73,74,Sierra Leone,5,61,12
74,75,Brazil,13,143,11
75,76,Maldives,17,180,11
76,77,Saint Helena,12,109,9
77,78,Malta,13,108,8
78,79,Myanmar,9,23,3
79,80,Indonesia,7,3,0
80,81,Gibraltar,12,0,0
81,82,Lesotho,6,0,0
82,83,Rwanda,6,0,0
83,84,Swaziland,6,0,0
84,85,Gambia,6,0,0
85,86,China,11,0,0
86,87,Turkey,6,0,0
